System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva-STATE,pva-CURR_FREQ,nvdec-STATE,nvdec-CURR_FREQ,nvenc-STATE,nvenc-CURR_FREQ,nvjpg0-STATE,nvjpg0-CURR_FREQ,nvjpg1-STATE,nvjpg1-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,CPU-therm-CURR_TEMP,CPU-therm-SW_THROTTLING_TEMP,CPU-therm-SW_SHUTDOWN_TEMP,CV0-therm-CURR_TEMP,CV0-therm-SW_THROTTLING_TEMP,CV0-therm-SW_SHUTDOWN_TEMP,CV1-therm-CURR_TEMP,CV1-therm-SW_THROTTLING_TEMP,CV1-therm-SW_SHUTDOWN_TEMP,CV2-therm-CURR_TEMP,CV2-therm-SW_THROTTLING_TEMP,CV2-therm-SW_SHUTDOWN_TEMP,GPU-therm-CURR_TEMP,GPU-therm-SW_THROTTLING_TEMP,GPU-therm-SW_SHUTDOWN_TEMP,SOC0-therm-CURR_TEMP,SOC0-therm-SW_THROTTLING_TEMP,SOC0-therm-SW_SHUTDOWN_TEMP,SOC1-therm-CURR_TEMP,SOC1-therm-SW_THROTTLING_TEMP,SOC1-therm-SW_SHUTDOWN_TEMP,SOC2-therm-CURR_TEMP,SOC2-therm-SW_THROTTLING_TEMP,SOC2-therm-SW_SHUTDOWN_TEMP,tj-therm-CURR_TEMP,tj-therm-SW_THROTTLING_TEMP,tj-therm-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-FAN_GOVERNOR,fan1-FAN_CONTROL,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
16:13:20,15W,True,1510.4,24,True,1510.4,78,True,1510.4,8,True,1510.4,22,True,1510.4,92,True,1510.4,26,624.75,38,2133.0,8,6713,7451,90,698,3725,19,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.7,99.0,104.5,43.9,99.0,104.5,44.8,99.0,104.5,46.2,99.0,104.5,46.2,-,-,3000,4000,5000,1328,6640,6004,32760,32760,4992,464,2316,1890,32760,32760,5000,312,1560,1519,quiet,cont,close_loop,57,1152,133033,249180
16:13:21,15W,True,1510.4,54,True,1510.4,52,True,1510.4,45,True,1510.4,46,True,1510.4,78,True,1510.4,51,624.75,0,2133.0,7,6806,7451,91,977,3725,26,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.1,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,46.0,99.0,104.5,43.9,99.0,104.5,44.8,99.0,104.5,46.2,99.0,104.5,46.2,-,-,3000,4000,5000,1296,6480,6005,32760,32760,4992,456,2276,1890,32760,32760,5000,312,1560,1519,quiet,cont,close_loop,57,1152,133033,249180
16:13:22,15W,True,1510.4,38,True,1510.4,32,True,1510.4,99,True,1510.4,23,True,1510.4,17,True,1510.4,100,612.0,17,2133.0,6,6915,7451,93,1388,3725,37,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.0,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,46.1,99.0,104.5,44.1,99.0,104.5,44.9,99.0,104.5,46.1,99.0,104.5,46.1,-,-,3000,4000,5000,1264,6320,6005,32760,32760,5000,440,2200,1891,32760,32760,5000,296,1480,1519,quiet,cont,close_loop,57,1152,133033,249180
16:13:23,15W,True,1510.4,45,True,1510.4,10,True,1510.4,69,True,1510.4,7,True,729.6,15,True,729.6,8,612.0,0,2133.0,5,6069,7451,81,1512,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.7,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.6,99.0,104.5,44.0,99.0,104.5,44.8,99.0,104.5,46.2,99.0,104.5,46.2,-,-,3000,4000,5008,1144,5729,6005,32760,32760,5000,288,1440,1890,32760,32760,5008,304,1522,1519,quiet,cont,close_loop,57,1152,133033,249180
16:13:24,15W,True,1510.4,36,True,1510.4,22,True,1510.4,92,True,1510.4,3,True,1510.4,13,True,1510.4,21,624.75,99,2133.0,17,6571,7451,88,1512,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,46.6,99.0,104.5,44.2,99.0,104.5,44.9,99.0,104.5,46.4,99.0,104.5,46.6,-,-,3000,4000,4984,1776,8851,6007,32760,32760,4976,712,3582,1892,32760,32760,4984,408,2033,1519,quiet,cont,close_loop,57,1152,133033,249180
16:13:25,15W,True,1510.4,17,True,1510.4,3,True,1510.4,94,True,1510.4,5,True,1510.4,65,True,1510.4,0,624.75,99,2133.0,25,6483,7451,87,1512,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.1,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,47.1,99.0,104.5,44.2,99.0,104.5,44.9,99.0,104.5,46.5,99.0,104.5,47.1,-,-,3000,4000,4976,1952,9713,6011,32760,32760,4968,840,4173,1894,32760,32760,4976,432,2149,1520,quiet,cont,close_loop,57,1151,133033,249180
16:13:26,15W,True,1510.4,19,True,1510.4,5,True,1510.4,20,True,1510.4,76,True,1510.4,62,True,1510.4,4,624.75,99,2133.0,29,6536,7451,88,1512,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.3,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,47.0,99.0,104.5,44.3,99.0,104.5,45.2,99.0,104.5,46.7,99.0,104.5,47.1,-,-,3000,4000,4976,1960,9752,6014,32760,32760,4968,840,4173,1896,32760,32760,4976,432,2149,1520,quiet,cont,close_loop,57,1151,133033,249180
16:13:27,15W,True,1510.4,13,True,1510.4,31,True,1510.4,36,True,1510.4,69,True,1510.4,51,True,1510.4,4,624.75,99,2133.0,31,6442,7451,86,1511,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,47.4,99.0,104.5,44.4,99.0,104.5,45.2,99.0,104.5,46.8,99.0,104.5,47.1,-,-,3000,4000,4976,2008,9991,6017,32760,32760,4968,864,4292,1898,32760,32760,4976,440,2189,1521,quiet,cont,close_loop,57,1152,133033,249180
16:13:28,15W,True,1510.4,20,True,1510.4,16,True,1510.4,10,True,1510.4,63,True,1510.4,39,True,1510.4,30,624.75,99,2133.0,31,6420,7451,86,1511,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.6,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,47.2,99.0,104.5,44.4,99.0,104.5,45.2,99.0,104.5,46.9,99.0,104.5,47.2,-,-,3000,4000,4976,1960,9752,6021,32760,32760,4968,840,4173,1900,32760,32760,4976,432,2149,1522,quiet,cont,close_loop,57,1151,133033,249180
16:13:29,15W,True,1510.4,45,True,1510.4,4,True,1510.4,7,True,1510.4,50,True,1510.4,50,True,1510.4,29,624.75,99,2133.0,31,6416,7451,86,1517,3725,41,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,46.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,47.6,99.0,104.5,44.5,99.0,104.5,45.5,99.0,104.5,47.1,99.0,104.5,47.6,-,-,3000,4000,4976,1936,9633,6024,32760,32760,4968,824,4093,1902,32760,32760,4976,424,2109,1522,quiet,cont,close_loop,57,1152,133033,249180
