System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva-STATE,pva-CURR_FREQ,nvdec-STATE,nvdec-CURR_FREQ,nvenc-STATE,nvenc-CURR_FREQ,nvjpg0-STATE,nvjpg0-CURR_FREQ,nvjpg1-STATE,nvjpg1-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,CPU-therm-CURR_TEMP,CPU-therm-SW_THROTTLING_TEMP,CPU-therm-SW_SHUTDOWN_TEMP,CV0-therm-CURR_TEMP,CV0-therm-SW_THROTTLING_TEMP,CV0-therm-SW_SHUTDOWN_TEMP,CV1-therm-CURR_TEMP,CV1-therm-SW_THROTTLING_TEMP,CV1-therm-SW_SHUTDOWN_TEMP,CV2-therm-CURR_TEMP,CV2-therm-SW_THROTTLING_TEMP,CV2-therm-SW_SHUTDOWN_TEMP,GPU-therm-CURR_TEMP,GPU-therm-SW_THROTTLING_TEMP,GPU-therm-SW_SHUTDOWN_TEMP,SOC0-therm-CURR_TEMP,SOC0-therm-SW_THROTTLING_TEMP,SOC0-therm-SW_SHUTDOWN_TEMP,SOC1-therm-CURR_TEMP,SOC1-therm-SW_THROTTLING_TEMP,SOC1-therm-SW_SHUTDOWN_TEMP,SOC2-therm-CURR_TEMP,SOC2-therm-SW_THROTTLING_TEMP,SOC2-therm-SW_SHUTDOWN_TEMP,tj-therm-CURR_TEMP,tj-therm-SW_THROTTLING_TEMP,tj-therm-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-FAN_GOVERNOR,fan1-FAN_CONTROL,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
15:56:44,15W,True,1510.4,42,True,1510.4,42,True,1510.4,56,True,1510.4,43,True,1510.4,38,True,1510.4,56,624.75,58,2133.0,13,5656,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.4,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,44.7,99.0,104.5,42.5,99.0,104.5,43.4,99.0,104.5,44.7,99.0,104.5,44.8,-,-,3000,4000,4992,1728,8626,4146,32760,32760,4976,712,3542,801,32760,32760,4984,384,1913,1154,quiet,cont,close_loop,50,988,133032,249180
15:56:45,15W,True,1510.4,32,True,1510.4,47,True,1510.4,37,True,1510.4,27,True,1036.8,24,True,1036.8,24,624.75,63,2133.0,24,5657,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.4,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.3,99.0,104.5,42.7,99.0,104.5,43.4,99.0,104.5,44.9,99.0,104.5,45.3,-,-,3000,4000,4984,1920,9529,4186,32760,32760,4968,816,4053,825,32760,32760,4984,424,2113,1161,quiet,cont,close_loop,50,988,133032,249180
15:56:46,15W,True,1510.4,10,True,1510.4,33,True,1510.4,29,True,1510.4,3,True,1510.4,11,True,1510.4,46,624.75,99,2133.0,29,5657,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.7,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.6,99.0,104.5,42.8,99.0,104.5,43.7,99.0,104.5,45.2,99.0,104.5,45.4,-,-,3000,4000,4984,1936,9649,4226,32760,32760,4968,832,4133,849,32760,32760,4984,424,2113,1168,quiet,cont,close_loop,50,988,133032,249180
15:56:47,15W,True,1510.4,16,True,729.6,17,True,729.6,31,True,729.6,15,True,1510.4,40,True,1510.4,13,624.75,98,2133.0,31,5650,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.0,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.7,99.0,104.5,42.9,99.0,104.5,43.8,99.0,104.5,45.3,99.0,104.5,45.7,-,-,3000,4000,4984,1936,9649,4265,32760,32760,4968,832,4133,873,32760,32760,4984,424,2113,1175,quiet,cont,close_loop,50,989,133032,249180
15:56:48,15W,True,1510.4,18,True,729.6,13,True,729.6,12,True,729.6,32,True,729.6,5,True,729.6,24,624.75,99,2133.0,32,5659,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.9,99.0,104.5,43.2,99.0,104.5,43.7,99.0,104.5,45.3,99.0,104.5,45.9,-,-,3000,4000,4984,1896,9449,4303,32760,32760,4968,792,3934,895,32760,32760,4984,424,2113,1181,quiet,cont,close_loop,50,988,133032,249180
15:56:49,15W,True,1510.4,20,True,1510.4,10,True,1510.4,11,True,1510.4,38,True,960.0,1,True,960.0,25,624.75,99,2133.0,32,5659,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.8,99.0,104.5,43.2,99.0,104.5,43.8,99.0,104.5,45.4,99.0,104.5,45.8,-,-,3000,4000,4984,1872,9330,4339,32760,32760,4976,784,3901,917,32760,32760,4984,424,2113,1188,quiet,cont,close_loop,50,989,133032,249180
15:56:50,15W,True,1510.4,10,True,1510.4,23,True,1510.4,10,True,1510.4,16,True,1113.6,23,True,1113.6,0,624.75,87,2133.0,32,5659,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,44.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,46.0,99.0,104.5,43.2,99.0,104.5,43.9,99.0,104.5,45.5,99.0,104.5,45.7,-,-,3000,4000,4984,1840,9170,4374,32760,32760,4976,752,3741,937,32760,32760,4984,424,2113,1195,quiet,cont,close_loop,50,989,133032,249180
15:56:51,15W,True,1510.4,32,True,1510.4,5,True,1510.4,9,True,1510.4,12,True,729.6,7,True,729.6,23,624.75,99,2133.0,32,5659,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.8,99.0,104.5,43.2,99.0,104.5,43.9,99.0,104.5,45.7,99.0,104.5,45.8,-,-,3000,4000,4984,1872,9330,4409,32760,32760,4976,776,3861,958,32760,32760,4984,424,2113,1201,quiet,cont,close_loop,50,989,133032,249180
15:56:52,15W,True,1510.4,42,True,1510.4,1,True,1510.4,5,True,1510.4,12,True,806.4,0,True,806.4,30,624.75,99,2133.0,32,5660,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.4,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.9,99.0,104.5,43.3,99.0,104.5,44.2,99.0,104.5,45.8,99.0,104.5,45.9,-,-,3000,4000,4984,1872,9330,4443,32760,32760,4976,776,3861,978,32760,32760,4984,424,2113,1208,quiet,cont,close_loop,50,989,133032,249180
15:56:53,15W,True,1510.4,29,True,1510.4,11,True,1510.4,4,True,1510.4,13,True,729.6,1,True,729.6,24,624.75,99,2133.0,32,5660,7451,76,2,3725,0,False,-,False,-,False,-,False,-,False,-,False,-,False,-,True,307.2,False,-,45.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,45.9,99.0,104.5,43.4,99.0,104.5,44.3,99.0,104.5,45.8,99.0,104.5,46.0,-,-,3000,4000,4984,1848,9210,4476,32760,32760,4976,752,3741,998,32760,32760,4984,424,2113,1214,quiet,cont,close_loop,50,988,133032,249180
